Sr.no,imdb_id,original_title,actors,is_adult,year_of_release,runtime,genres,review
1359,tt0357283,Khamosh Pani: Silent Waters,"Kiron Kher,Aamir Ali Malik,Arshad Mahmood,Salman Shahid,Shilpa Shukla,Sarfaraz Ansari,",Not Adult,2003,Regular Movie,Drama,1
1360,tt0391274,Kismat,"Bobby Deol,Priyanka Chopra,Kabir Bedi,Sanjay Narvekar,Mohan Joshi,Shahbaaz Khan,Smita Jaykar,Ashish Vidyarthi,Mushtaq Khan,",Not Adult,2004,Regular Movie,"Action,Drama",5
1361,tt0426075,Lakeer - Forbidden Lines,"Sunny Deol,Sunil Shetty,Sohail Khan,John Abraham,Nauheed Cyrusi,Apoorva Agnihotri,Raj Zutshi,Vrajesh Hirjee,Hemant Birje,Dhananjay Mandrekar,Razak Khan,Vishwajeet Pradhan,Avtar Gill,Brijesh Tripathi,",Not Adult,2004,Long Movie,"Action,Drama,Romance",5
1362,tt0408976,Krishna Cottage,"Sohail Khan,Isha Koppikar,Anita Hassanandani Reddy,Rati Agnihotri,Hiten Tejwani,Divya Palat,Vrajesh Hirjee,Raj Zutshi,",Not Adult,2004,Regular Movie,"Horror,Mystery",4
1363,tt0349703,Kyun! Ho Gaya Na...,"Amitabh Bachchan,Vivek Oberoi,Aishwarya Rai Bachchan,Om Puri,Rati Agnihotri,Tinnu Anand,Gaurav Gera,Rahul Singh,Ajit Ahuja,",Not Adult,2004,Long Movie,"Comedy,Drama,Romance",5
1364,tt0430328,Madhoshi,"Bipasha Basu,John Abraham,Priyanshu Chatterjee,",Not Adult,2004,Regular Movie,"Drama,Musical,Mystery",5
1365,tt0323013,Lakshya,"Hrithik Roshan,Preity Zinta,Amitabh Bachchan,Om Puri,Sharad S. Kapoor,Raj Zutshi,Sushant Singh,Prashant Chianani,Shakeel Khan,Ranvir Shorey,Arav Chowdharry,Ajai Jose,Aditya Srivastava,Abir Goswami,",Not Adult,2004,Long Movie,"Action,Drama,Romance",1
1366,tt0392950,Ishq Hai Tumse,"Dino Morea,Bipasha Basu,",Not Adult,2004,Regular Movie,Romance,5
1367,tt0379370,Maqbool,"Irrfan Khan,Tabu,Pankaj Kapur,Naseeruddin Shah,Om Puri,Piyush Mishra,Masumeh Makhija,Ajay Gehi,Abbas Tyrewala,Deepak Dobriyal,Gyanchand Rikki,Manav Kaushik,Ankur Vikal,Pubali Sanyal,",Not Adult,2003,Regular Movie,"Crime,Drama,Thriller",1
1368,tt0406977,Masti,"Aftab Shivdasani,Vivek Oberoi,Riteish Deshmukh,Amrita Rao,Tara Sharma,Genelia D'Souza,Ajay Devgn,Lara Dutta,Archana Puran Singh,Satish Shah,Suresh Menon,Rakhi Sawant,Divya Palat,Seema Pande,",Not Adult,2004,Long Movie,"Comedy,Crime,Mystery",3
1369,tt0366761,Meenaxi: Tale of 3 Cities,"Tabu,Raghuvir Yadav,Nadira Babbar,Kunal Kapoor,Sadiya Turabi,Zafar Ansari,Zainab Ravdjee,Pawan Sughand,Madhu Gopinath,Vakkom Sajeev,Bunty Sharma,Chettan Motiwalla,Raisa Husain,Sharmishta Roy,",Not Adult,2004,Regular Movie,"Drama,Musical,Romance",4
1370,tt0430381,Musafir,"Anil Kapoor,Sameera Reddy,Aditya Pancholi,Mahesh Manjrekar,Shakti Kapoor,Sanjay Dutt,Koena Mitra,Manoj Pahwa,Ashwini Kalsekar,Ssanjay Swaraaj,Pankaj Kalra,Nawab,Sudhir Nema,Harry Singh,",Not Adult,2004,Long Movie,"Action,Crime,Drama",3
1371,tt0054098,Mughal-E-Azam,"Prithviraj Kapoor,Madhubala,Dilip Kumar,Durga Khote,Nigar Sultana,Ajit,M. Kumar,Murad,Jilloo Maa,Vijayalaxmi,S. Nazir,Sheela Delaya,Surendra,Johnny Walker,",Not Adult,1960,Long Movie,"Drama,Romance,War",1
1372,tt0409068,Muskaan,"Aftab Shivdasani,Gracy Singh,",Not Adult,2004,Regular Movie,Romance,5
1373,tt0187279,Meri Biwi Ka Jawab Nahin,"Akshay Kumar,Sridevi,Gulshan Grover,Laxmikant Berde,Anupam Kher,Kiran Kumar,Johnny Lever,Anil Nagrath,Neena Gupta,Jayshree T.,",Not Adult,2004,Regular Movie,"Action,Comedy,Romance",5
1374,tt0433605,Naach,"Antara Mali,Abhishek Bachchan,Riteish Deshmukh,",Not Adult,2004,Regular Movie,"Drama,Musical,Romance",5
1375,tt0349878,Netaji Subhas Chandra Bose: The Forgotten Hero,"Vinay Anand,Ila Arun,Pankaj Berry,Nicolas Chagrin,Nalini Chatterjee,Vikrant Chaturvedi,Pradeep Kumar Das,Abha Dhulia,Kelly Dorji,Divya Dutta,Chris England,Jayant Gadekar,Sonamoni Jayant Gadekar,Arindham Ghosh,",Not Adult,2005,Long Movie,"Biography,Drama,History",4
1376,tt0399942,Paap,"John Abraham,Udita Goswami,Mohan Agashe,Gulshan Grover,Sandeep Mehta,Denzil Smith,Anahita Oberoi,Madan Bhiku,Ahsan Baksh,Bikramjeet Kanwarpal,Anupam Shyam,Mukesh Bhatt,Vikram Kapadia,Aishwarya Mehta,",Not Adult,2003,Regular Movie,"Drama,Romance,Thriller",4
1377,tt0422950,Phir Milenge,"Salman Khan,Abhishek Bachchan,Shilpa Shetty Kundra,Mita Vasisht,",Not Adult,2004,Regular Movie,Drama,3
1378,tt0364604,Plan,"Sanjay Dutt,Dino Morea,Sanjay Suri,Bikram Saluja,Rohit Roy,Sameera Reddy,Priyanka Chopra,Riya Sen,Sanjay Mishra,Payal Rohatgi,Sharad S. Kapoor,",Not Adult,2004,Regular Movie,"Action,Crime,Thriller",5
